# RA DEC VAL WEIGHT SAMPLE
0.447696 0.40677 0.190457 1 31
0.453828 0.412444 0.0326911 1 31
0.429297 0.401107 -0.0205644 1 30
0.435429 0.40677 0.163661 1 31
0.423164 0.40677 0.330586 1 30
0.429297 0.412444 0.195214 1 30
0.441563 0.412444 0.199769 1 31
0.447696 0.418135 -0.272489 1 31
0.435429 0.418135 0.0952001 1 31
0.441563 0.423839 -0.36846 1 31
0.466095 0.412444 -0.236502 1 31
0.472226 0.418135 0.13215 1 31
0.459961 0.418135 -0.119441 1 31
0.466095 0.423839 -0.284443 1 31
0.47836 0.423839 -0.2057 1 31
0.484492 0.429557 0.127329 1 31
0.472226 0.429557 0.0414799 1 31
0.47836 0.435291 0.259303 1 31
0.453828 0.423839 -0.157044 1 31
0.459961 0.429557 -0.282722 1 31
0.447696 0.429557 0.00761998 1 31
0.453828 0.435291 -0.281118 1 31
0.466095 0.435291 0.0128052 1 31
0.472226 0.441041 -0.151683 1 31
0.459961 0.441041 -0.238602 1 31
0.466095 0.446806 0.322096 1 31
0.41703 0.412444 -0.179826 1 30
0.423164 0.418135 -0.263772 1 30
0.410899 0.418135 0.163895 1 30
0.41703 0.423839 -0.259366 1 30
0.429297 0.423839 -0.198019 1 30
0.435429 0.429557 -0.0472882 1 31
0.423164 0.429557 -0.234862 1 30
0.429297 0.435291 -0.386655 1 30
0.404765 0.423839 -0.344148 1 30
0.410899 0.429557 -0.507982 1 30
0.398633 0.429557 -0.293377 1 30
0.404765 0.435291 -0.317891 1 30
0.41703 0.435291 -0.150195 1 30
0.423164 0.441041 -0.00143617 1 30
0.410899 0.441041 0.162728 1 30
0.41703 0.446806 0.125821 1 30
0.441563 0.435291 0.0702907 1 31
0.447696 0.441041 0.122864 1 31
0.435429 0.441041 0.114263 1 31
0.441563 0.446806 -0.0169721 1 31
0.453828 0.446806 -0.156772 1 31
0.459961 0.452587 -0.0285338 1 31
0.447696 0.452587 0.0879272 1 31
0.453828 0.458384 -0.47612 1 31
0.429297 0.446806 -0.0174856 1 30
0.435429 0.452587 0.0782878 1 31
0.423164 0.452587 -0.0662467 1 30
0.429297 0.458384 -0.180764 1 30
0.441563 0.458384 0.183541 1 31
0.447696 0.464198 -0.161407 1 31
0.435429 0.464198 0.015036 1 31
0.441563 0.47003 0.124489 1 31
0.343438 0.389824 -0.0383328 1 30
0.349571 0.395459 0.132202 1 30
0.337304 0.395459 0.134339 1 30
0.343438 0.401107 0.171309 1 30
0.355703 0.401107 -0.140661 1 30
0.361836 0.40677 0.372231 1 30
0.349571 0.40677 0.106137 1 30
0.355703 0.412444 0.47668 1 30
0.331172 0.401107 0.396698 1 30
0.337304 0.40677 -0.11608 1 30
0.325039 0.40677 0.0759624 1 30
0.331172 0.412444 0.0517367 1 30
0.343438 0.412444 0.26433 1 30
0.349571 0.418135 -0.0751709 1 30
0.337304 0.418135 0.351174 1 30
0.343438 0.423839 0.0361223 1 30
0.36797 0.412444 0.506422 1 30
0.374101 0.418135 0.118561 1 30
0.361836 0.418135 0.496318 1 30
0.36797 0.423839 0.210409 1 30
0.380235 0.423839 0.127846 1 30
0.386367 0.429557 -0.344663 1 30
0.374101 0.429557 0.122992 1 30
0.380235 0.435291 -0.197525 1 30
0.355703 0.423839 0.0443323 1 30
0.361836 0.429557 0.307807 1 30
0.349571 0.429557 -0.288662 1 30
0.355703 0.435291 -0.331442 1 30
0.36797 0.435291 0.073114 1 30
0.374101 0.441041 -0.0861543 1 30
0.361836 0.441041 0.594673 1 30
0.36797 0.446806 0.159197 1 30
0.318905 0.412444 -0.00795549 1 30
0.325039 0.418135 -0.11713 1 30
0.312774 0.418135 0.0607768 1 30
0.318905 0.423839 -0.248637 1 30
0.331172 0.423839 -0.256912 1 30
0.337304 0.429557 -0.0662166 1 30
0.325039 0.429557 0.179673 1 30
0.331172 0.435291 -0.402175 1 30
0.30664 0.423839 -0.288165 1 30
0.312774 0.429557 -0.2474 1 30
0.300508 0.429557 -0.273079 1 30
0.30664 0.435291 0.0423797 1 30
0.318905 0.435291 -0.14409 1 30
0.325039 0.441041 -0.307439 1 30
0.312774 0.441041 0.0261574 1 30
0.318905 0.446806 -0.258439 1 30
0.343438 0.435291 -0.366316 1 30
0.349571 0.441041 -0.511188 1 30
0.337304 0.441041 -0.500574 1 30
0.343438 0.446806 -0.286011 1 30
0.355703 0.446806 -0.291116 1 30
0.361836 0.452587 0.206659 1 30
0.349571 0.452587 -0.309198 1 30
0.355703 0.458384 0.371174 1 30
0.343438 0.458384 0.0477334 1 30
0.349571 0.464198 0.292894 1 30
0.337304 0.464198 -0.0994477 1 30
0.343438 0.47003 -0.204502 1 30
0.3925 0.435291 0.0205054 1 30
0.398633 0.441041 -0.047897 1 30
0.386367 0.441041 0.0379645 1 30
0.3925 0.446806 -0.240713 1 30
0.404765 0.446806 -0.181609 1 30
0.410899 0.452587 -0.0204102 1 30
0.398633 0.452587 -0.0153351 1 30
0.404765 0.458384 0.335931 1 30
0.380235 0.446806 -0.0724208 1 30
0.386367 0.452587 -0.3686 1 30
0.374101 0.452587 0.0403641 1 30
0.380235 0.458384 -0.390285 1 30
0.3925 0.458384 -0.254537 1 30
0.386367 0.464198 -0.414205 1 30
0.3925 0.47003 0.103954 1 30
0.41703 0.458384 -0.0190882 1 30
0.423164 0.464198 -0.235397 1 30
0.410899 0.464198 -0.183879 1 30
0.41703 0.47003 0.269774 1 30
0.429297 0.47003 0.562519 1 30
0.435429 0.475877 0.359031 1 31
0.423164 0.475877 0.191962 1 30
0.429297 0.481744 -0.261098 1 30
0.404765 0.47003 0.208382 1 30
0.410899 0.475877 -0.0667457 1 30
0.398633 0.475877 -0.283432 1 30
0.404765 0.481744 -0.0576273 1 30
0.41703 0.481744 0.0123667 1 30
0.423164 0.487628 -0.060573 1 30
0.410899 0.487628 -0.0105312 1 30
0.41703 0.49353 0.0424393 1 30
0.36797 0.458384 -0.226817 1 30
0.374101 0.464198 -0.36377 1 30
0.361836 0.464198 -0.1063 1 30
0.36797 0.47003 -0.0194269 1 30
0.380235 0.47003 0.169998 1 30
0.386367 0.475877 0.241431 1 30
0.374101 0.475877 0.104049 1 30
0.380235 0.481744 -0.00103009 1 30
0.355703 0.47003 -0.0746125 1 30
0.361836 0.475877 0.237359 1 30
0.349571 0.475877 -0.117761 1 30
0.355703 0.481744 -0.0222156 1 30
0.36797 0.481744 0.488012 1 30
0.374101 0.487628 -0.170101 1 30
0.361836 0.487628 0.10243 1 30
0.36797 0.49353 -0.0113496 1 30
0.3925 0.481744 0.47868 1 30
0.398633 0.487628 -0.264431 1 30
0.386367 0.487628 -0.233245 1 30
0.3925 0.49353 -0.115698 1 30
0.404765 0.49353 -0.371613 1 30
0.410899 0.499452 -0.204923 1 30
0.398633 0.499452 0.0957161 1 30
0.404765 0.505392 -0.404913 1 30
0.380235 0.49353 -0.127165 1 30
0.386367 0.499452 0.320903 1 30
0.374101 0.499452 -0.223528 1 30
0.380235 0.505392 0.00934052 1 30
0.3925 0.505392 -0.175054 1 30
0.398633 0.511352 -0.170859 1 30
0.386367 0.511352 0.0351439 1 30
0.3925 0.517332 0.362007 1 30
0.490625 0.435291 -0.0732199 1 31
0.496758 0.441041 -0.0459955 1 31
0.484492 0.441041 0.125928 1 31
0.490625 0.446806 0.0709556 1 31
0.50289 0.446806 -0.0924332 1 31
0.509024 0.452587 -0.0144433 1 31
0.496758 0.452587 -0.362917 1 31
0.50289 0.458384 -0.311749 1 31
0.47836 0.446806 -0.125743 1 31
0.484492 0.452587 0.114061 1 31
0.472226 0.452587 -0.126392 1 31
0.47836 0.458384 0.00132596 1 31
0.490625 0.458384 -0.0858406 1 31
0.496758 0.464198 0.0084486 1 31
0.484492 0.464198 0.254971 1 31
0.490625 0.47003 0.0970092 1 31
0.515155 0.458384 -0.0655702 1 31
0.521289 0.464198 0.0426509 1 31
0.509024 0.464198 -0.0637911 1 31
0.515155 0.47003 0.0861988 1 31
0.527422 0.47003 -0.173349 1 31
0.533554 0.475877 0.102413 1 31
0.521289 0.475877 -0.153113 1 31
0.527422 0.481744 0.127292 1 31
0.50289 0.47003 0.122841 1 31
0.509024 0.475877 0.26456 1 31
0.496758 0.475877 -0.115194 1 31
0.50289 0.481744 0.0984776 1 31
0.515155 0.481744 0.837758 1 31
0.521289 0.487628 0.274926 1 31
0.509024 0.487628 0.330319 1 31
0.515155 0.49353 0.0857768 1 31
0.466095 0.458384 -0.0942387 1 31
0.472226 0.464198 -0.293258 1 31
0.459961 0.464198 -0.253738 1 31
0.466095 0.47003 -0.259104 1 31
0.47836 0.47003 0.11454 1 31
0.484492 0.475877 -0.214963 1 31
0.472226 0.475877 0.0219723 1 31
0.47836 0.481744 -0.110667 1 31
0.453828 0.47003 -0.313988 1 31
0.459961 0.475877 0.57593 1 31
0.447696 0.475877 0.20349 1 31
0.453828 0.481744 -0.345882 1 31
0.466095 0.481744 -0.0234613 1 31
0.472226 0.487628 0.101914 1 31
0.459961 0.487628 0.276612 1 31
0.466095 0.49353 0.106465 1 31
0.490625 0.481744 -0.285962 1 31
0.496758 0.487628 -0.246865 1 31
0.484492 0.487628 -0.30504 1 31
0.490625 0.49353 -0.172247 1 31
0.50289 0.49353 -0.16832 1 31
0.509024 0.499452 0.155026 1 31
0.496758 0.499452 -0.318189 1 31
0.50289 0.505392 -0.181795 1 31
0.47836 0.49353 -0.0690777 1 31
0.484492 0.499452 -0.175754 1 31
0.472226 0.499452 -0.0606593 1 31
0.47836 0.505392 0.281184 1 31
0.490625 0.505392 -0.220985 1 31
0.496758 0.511352 -0.127087 1 31
0.484492 0.511352 -0.209795 1 31
0.490625 0.517332 0.12443 1 31
0.539687 0.481744 -0.00982797 1 31
0.545821 0.487628 0.0991349 1 31
0.533554 0.487628 0.419204 1 31
0.539687 0.49353 0.280492 1 31
0.551953 0.49353 0.117269 1 31
0.558086 0.499452 -0.175346 1 31
0.545821 0.499452 0.114108 1 31
0.551953 0.505392 0.338553 1 31
0.527422 0.49353 0.261311 1 31
0.533554 0.499452 -0.215714 1 31
0.521289 0.499452 0.178815 1 31
0.527422 0.505392 0.262529 1 31
0.539687 0.505392 0.0574523 1 31
0.545821 0.511352 -0.0869757 1 31
0.533554 0.511352 0.0505564 1 31
0.539687 0.517332 0.127418 1 31
0.56422 0.505392 -0.0641013 1 31
0.570351 0.511352 0.152855 1 31
0.558086 0.511352 0.04091 1 31
0.56422 0.517332 0.344748 1 31
0.576485 0.517332 -0.18478 1 31
