#             i             j        cov_ij
            17             17    7.57427e-07
            17             18    5.42959e-07
            17             19    2.80894e-07
            18              0    7.58749e-07
            18              1    8.54222e-07
            18              2    7.74882e-07
            18              3    8.05921e-07
            18              4    1.05453e-06
            18              5    1.12487e-06
            18              6    1.00876e-06
            18              7    1.06617e-06
            18              8    1.04495e-06
            18              9    9.92142e-07
            18             10    9.80368e-07
            18             11    8.38946e-07
            18             12    7.33259e-07
            18             13     6.3371e-07
            18             14    6.98057e-07
            18             15    5.86309e-07
            18             16    5.30252e-07
            18             17    5.42959e-07
            18             18    5.45915e-07
            18             19    3.02617e-07
            19              0    2.45457e-08
            19              1    6.95445e-08
            19              2    2.23228e-07
            19              3    7.70071e-08
            19              4    3.63626e-07
            19              5    4.05957e-07
            19              6    3.55331e-07
            19              7    3.23393e-07
            19              8    4.27881e-07
            19              9    4.04439e-07
            19             10    3.78179e-07
            19             11    3.00347e-07
            19             12    2.34767e-07
            19             13    1.99994e-07
            19             14    3.06132e-07
            19             15    2.86593e-07
            19             16    2.91167e-07
            19             17    2.80894e-07
            19             18    3.02617e-07
            19             19    3.91835e-07
